FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,TJX,TJX Companies,,80.9,36868.37915675711,381.102374163618,2982651.8737816503
Equities,SYY,Sysco,,76.45,169149.7031502104,38407.726398022416,12931494.805833586
Equities,PNR,Pentair,,54.97,318135.3499414589,-341779.43662756874,17487900.186281994
Equities,AXP,American Express,,173.69,304317.3032210365,1936099.4347302534,52856872.39646183
Equities,COP,ConocoPhillips,,118.75,268845.6453824233,-123520.4633701783,31925420.389162768
Equities,DGX,Quest Diagnostics,,146.99,202034.7892365903,-185435.98008399215,29697093.66988641
Equities,WYNN,Wynn Resorts,,103.13,74693.99768215754,-188953.29147714266,7703191.9809609065
Equities,STT,State Street Corporation,,89.78,108499.08426820001,-319482.06779247173,9741047.785598997
Equities,META,Meta Platforms,,148.97,295585.0521764235,1141292.6790163766,44033305.22272181
Equities,ANSS,Ansys,,266.36,269176.89197902236,1065183.8574950693,71697956.9475324
Equities,MHK,Mohawk Industries,,120.06,196382.39309252182,51302.966517042296,23577670.11468817
Equities,GOOG,Alphabet Inc. (Class C),,99.87,84469.99198369772,-2350.3739401997505,8436018.099411892
Equities,TEL,TE Connectivity,,125.43,10249.655836167538,25954.964216831268,1285614.3315304944
Equities,NWL,Newell Brands,,15.58,93367.86632661031,55030.01819151368,1454671.3573685887
Equities,MMC,Marsh McLennan,,173.66,120784.95724053167,129173.0072038128,20975515.67439073
Equities,SO,Southern Company,,65.67,255762.45974222675,111360.90717325105,16795920.73127203
Equities,CRL,Charles River Laboratories,,243.25,271762.5142983356,934886.1837017618,66106231.60307013
Equities,GWW,W. W. Grainger,,584.78,28976.69272415088,198668.45877626154,16944990.37122895
Equities,QRVO,Qorvo,,108.66,277445.39778839675,467459.42737173435,30147216.92368719
Equities,MCO,Moody's Corporation,,320.36,169975.07683549423,340582.47599583725,54453215.615018934
Equities,EBAY,eBay,,48.94,163628.01227148785,140283.06025076436,8007954.920566615
Equities,REGN,Regeneron,,758.47,178779.80125968164,-1644612.2932761759,135599115.86143073
Equities,AVY,Avery Dennison,,187.74,154738.57733231032,-225974.76669227905,29050620.50836794
Equities,BK,BNY Mellon,,49.66,195589.08914143106,31533.83205585787,9712954.166763466
Equities,IFF,International Flavors & Fragrances,,110.21,231095.66501299787,33885.26092152544,25469053.241082493
Equities,CPRT,Copart,,33.3,120609.20665775012,43572.768074903564,4016286.581703079
Equities,LEN,Lennar,,101.75,303613.45694953686,-182305.8896327148,30892669.244615376
Equities,TPR,"Tapestry, Inc.",,44.94,239479.89614608858,-185211.0752490825,10762226.53280522
Equities,ACGL,Arch Capital Group,,64.35,182248.92365750347,-0.0,11727718.237360347
Equities,HAL,Halliburton,,40.83,50821.034366752894,-20133.80637119915,2075022.8331945206
Equities,PTC,PTC,,134.88,24758.678737393748,7326.583958510051,3339450.5880996687
Equities,ROK,Rockwell Automation,,278.58,248592.97528424385,1114839.578994087,69253031.05468465
Equities,LLY,Eli Lilly and Company,,341.42,57575.51114606676,0.0,19657431.015490115
Equities,LYV,Live Nation Entertainment,,80.49,25984.08015971695,-11975.513899976646,2091458.6120556172
Equities,AZO,AutoZone,,2438.85,276349.857691046,1459358.862769606,673975850.4298075
Equities,EW,Edwards Lifesciences,,76.7,223755.38812192777,2582.9164354907903,17162038.26895186
Equities,CAG,Conagra Brands,,36.48,132343.35361090561,-7004.029947758071,4827885.539725836
Equities,CPB,Campbell Soup Company,,51.17,151972.56275816134,20376.72933308415,7776436.036335116
Equities,ENPH,Enphase,,221.38,89190.36147778122,-133990.20830650182,19744962.223951206
Equities,DRI,Darden Restaurants,,145.63,179530.5917144573,-204379.78305690782,26145040.071376413
Equities,IEX,IDEX Corporation,,238.23,297162.48222704325,736109.162545703,70793018.1409485
Equities,ARE,Alexandria Real Estate Equities,,157.41,192922.23756116844,406831.2467544065,30367889.414503522
Equities,WAT,Waters Corporation,,328.58,134493.50269749237,-52799.01961714437,44191875.11634204
Equities,LYB,LyondellBasell,,92.96,54543.444369171666,84695.11307832944,5070358.588558198
