FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,HSIC,Henry Schein,,78.31,8389.897819130214,7032.822961075173,657012.898216087
Equities,JNPR,Juniper Networks,,30.56,9495.699809346808,1766.0580382122675,290188.58617363847
Equities,CRL,Charles River Laboratories,,219.34,9258.331719273712,-43091.40655881099,2030722.479305496
Equities,ACN,Accenture,,263.55,3805.805708953719,1806.808159430415,1003020.0945947528
Equities,LEN,Lennar,,96.13,3518.9909310925286,2899.9577814187905,338280.59820592473
Equities,CTSH,Cognizant,,62.08,776.8337527573354,-174.71762735715717,48225.83937117538
Equities,COF,Capital One,,107.76,8856.664423291699,3403.8022381318997,954394.1582539135
Equities,PG,Procter & Gamble,,135.85,7652.772012269954,-2420.350231269586,1039629.0778668732
Equities,APTV,Aptiv,,116.28,5396.882244216029,4296.074232863756,627549.4673574398
Equities,ROL,"Rollins, Inc.",,34.98,7373.643610577965,1415.0688494514407,257930.0534980172
Equities,SWKS,Skyworks Solutions,,110.88,816.2818211766477,239.5495615931638,90509.3283320667
Equities,PNW,Pinnacle West,,72.13,7342.51828497212,-685.2869135717559,529615.8438950389
Equities,RSG,Republic Services,,128.04,6313.403473033168,-3828.0912022005764,808368.1806871668
Equities,ADP,ADP,,217.32,3711.8799913178377,4944.815376360803,806665.7597131925
Equities,SPGI,S&P Global,,339.55,1285.0608099095225,2889.171200210375,436342.39800477837
Equities,CTAS,Cintas,,436.2,6404.393907875349,1543.1254756763724,2793596.6226152275
Equities,WHR,Whirlpool Corporation,,132.66,2295.6177045262125,-6597.842704206607,304536.64468244737
Equities,LYB,LyondellBasell,,92.28,7991.23244119261,-1033.86057449441,737430.929673254
Equities,WST,West Pharmaceutical Services,,316.71,6719.392065023614,15215.008042107922,2128098.6609136285
Equities,TROW,T. Rowe Price,,109.78,9111.174431609506,-5015.830228921898,1000224.7291020916
Equities,KMB,Kimberly-Clark,,122.78,1062.9655192987661,615.2779201200822,130510.90645950251
Equities,ARE,Alexandria Real Estate Equities,,146.67,2198.1303327399723,-104.66565416880998,322399.77590297174
Equities,APD,Air Products and Chemicals,,282.5,6242.083764200078,42298.06109069259,1763388.663386522
Equities,ALK,Alaska Air Group,,47.83,6957.589763968031,1068.2913417116135,332781.5184105909
Equities,CARR,Carrier Global,,44.66,4645.169980975721,12.660531046449577,207453.2913503757
Equities,HSY,Hershey's,,236.11,8147.385487702436,-17707.800119832275,1923679.1875014224
Equities,ICE,Intercontinental Exchange,,100.97,7065.0291104475555,3655.9663524484886,713355.9892818896
Equities,CLX,Clorox,,153.2,2233.486996765796,-3309.8795190822966,342170.2079045199
Equities,AAL,American Airlines Group,,15.98,7839.553951767848,293.5922492107386,125276.07214925022
Equities,FOX,Fox Corporation (Class B),,32.25,9373.030976317905,33.75658506818687,302280.2489862524
Equities,TPR,"Tapestry, Inc.",,42.91,5062.253342209099,956.0852425726904,217221.29091419242
Equities,PKG,Packaging Corporation of America,,134.13,9819.660407715342,5472.466775682595,1317111.050486859
Equities,WM,Waste Management,,148.42,9108.529012156388,9502.517928199351,1351887.875984251
Equities,LIN,Linde plc,,345.82,7018.591004228942,8302.96880281868,2427169.1410824526
Equities,ETR,Entergy,,101.84,684.977059655947,-210.6251983182106,69758.06375536164
Equities,GPN,Global Payments,,111.64,8966.022864991623,500.4373963443992,1000966.7926476648
Equities,JNJ,Johnson & Johnson,,151.02,5576.650823576873,7503.835563411775,842185.8073765795
Equities,EQR,Equity Residential,,61.14,2276.026940817973,-636.2333737628238,139156.28716161088
Equities,EIX,Edison International,,64.81,8874.685926845757,-2977.572189210021,575168.3949188736
Equities,LLY,Eli Lilly and Company,,309.75,2229.3789335596293,5691.055053048632,690550.1246700952
Equities,AOS,A. O. Smith,,64.8,6887.093000481188,168.8324020146,446283.626431181
Equities,AON,Aon,,302.9,6744.070430123433,18325.953017844127,2042778.9332843877
Equities,ECL,Ecolab,,158.36,630.8825631309509,159.87928972943206,99906.5626974174
Equities,RF,Regions Financial Corporation,,22.84,4893.859400144159,145.0766019608378,111775.74869929258
Equities,FE,FirstEnergy,,38.73,3250.6341176775363,336.85368643995076,125897.05937765098
Equities,FICO,Fair Isaac,,677.39,4371.978780121843,7672.622653455801,2961534.705866735
Equities,HCA,HCA Healthcare,,242.35,2594.936587182815,6732.452574162416,628882.8819037552
Equities,CBOE,Cboe Global Markets,,125.69,7867.490780627301,4063.0844119384446,988864.9162170455
Equities,PH,Parker Hannifin,,348.96,3215.184164300722,-18321.07398478716,1121970.6659743797
Equities,CVX,Chevron Corporation,,157.7,7941.1160691349005,5934.2688870781985,1252314.0041025737
Equities,TJX,TJX Companies,,75.98,2469.6423252760032,2124.0286021898164,187643.42387447073
Equities,A,Agilent Technologies,,141.47,1060.8365230386357,1638.120189321719,150076.5429142758
Equities,INVH,Invitation Homes,,30.79,598.5777935875681,-19.4878122458953,18430.21026456122
Equities,LYV,Live Nation Entertainment,,72.06,1326.4413005993756,-1578.4758093533792,95583.36012119101
Equities,AAP,Advance Auto Parts,,142.66,1569.2401636052002,1729.3443473057644,223867.80173991786
Equities,DHR,Danaher Corporation,,246.98,5563.7768931400315,-705.6872955760604,1374141.617067725
Equities,NTRS,Northern Trust,,93.57,5063.772625925248,882.7038390826954,473817.2046078254
Equities,PCG,PG&E Corporation,,15.62,7689.10821448119,5.364137682019667,120103.87031019617
Equities,COO,CooperCompanies,,326.94,1814.747749552317,-96.94429449297306,593313.6292386345
Equities,KIM,Kimco Realty,,20.12,8868.019070012391,-783.0591510547665,178424.5436886493
Equities,PEG,Public Service Enterprise Group,,59.3,1204.029013285697,-223.79998691200186,71398.92048784182
