FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,FANG,Diamondback Energy,,141.45,100616.99019817905,9860.623522571954,14232273.263532424
Equities,AOS,A. O. Smith,,66.84,355326.22962237615,791326.8272866306,23750005.187959623
Equities,ADM,ADM,,81.48,32758.17730812165,-14747.702723204327,2669136.287065752
Equities,TMO,Thermo Fisher Scientific,,569.58,243811.3485131534,405015.98814090644,138870067.88612193
Equities,CHRW,C.H. Robinson,,98.91,252463.5380128688,433779.6773644636,24971168.544852853
Equities,CHD,Church & Dwight,,80.14,86425.62131500554,286.5863373877801,6926149.292184544
Equities,JBHT,J.B. Hunt,,187.81,57676.39126303807,29819.81272467561,10832203.04311118
Equities,SO,Southern Company,,65.67,50878.043921337536,51006.31622130482,3341161.144314236
Equities,FAST,Fastenal,,49.57,307288.8029023078,-118804.1879913575,15232305.9598674
Equities,STT,State Street Corporation,,89.78,33585.865225416106,25150.50290193281,3015338.979937858
Equities,FCX,Freeport-McMoRan,,44.29,294301.0362386209,-253014.01329131357,13034592.895008517
Equities,STZ,Constellation Brands,,229.07,234272.40229994428,-8494.890141003163,53664779.19484823
Equities,NSC,Norfolk Southern Railway,,241.43,321446.3491618907,-19064.36337698277,77606792.07815526
Equities,ALL,Allstate,,126.55,43013.921551281914,61077.95063680238,5443411.772314726
Equities,SJM,J.M. Smucker Company (The),,149.66,162064.48319647918,130971.82851002394,24254570.555185072
Equities,EVRG,Evergy,,60.7,42832.12494948271,867.5502950976061,2599909.9844336007
Equities,MSFT,Microsoft,,246.13,172383.76565395598,300307.86171125196,42428816.24040818
Equities,AXP,American Express,,173.69,139337.61286497762,-55873.76622074262,24201549.978517964
Equities,SYK,Stryker Corporation,,252.5,291552.8272768044,-45926.48430473223,73617088.88739312
Equities,VICI,Vici Properties,,33.34,201743.01088139586,-47698.65690628384,6726111.982785739
Equities,ARE,Alexandria Real Estate Equities,,157.41,320479.50530753797,355695.62099002185,50446678.93045955
Equities,DD,DuPont,,72.86,126347.43029960568,-23470.388234089263,9205673.77162927
Equities,AMT,American Tower,,219.94,288657.7314925376,-365768.69286702154,63487381.46446872
Equities,HON,Honeywell,,205.18,159111.88895210842,-20365.688819628464,32646577.375193607
Equities,RCL,Royal Caribbean Group,,64.94,130941.38814879212,-13152.192932371017,8503333.74638256
Equities,APH,Amphenol,,79.35,296495.03735388926,108906.36562259027,23526881.21403111
Equities,PHM,PulteGroup,,56.6,12385.119988353885,-23136.48646220001,700997.7913408299
Equities,ETN,Eaton Corporation,,159.95,364418.47561402153,31486.156752912593,58288735.17446274
Equities,MDLZ,Mondelez International,,64.74,329816.9653202148,35739.88316779763,21352350.334830705
Equities,LEN,Lennar,,101.75,113749.83175805258,303019.45164327824,11574045.381381849
Equities,ATVI,Activision Blizzard,,75.75,284658.4478431236,851.6657415177029,21562877.42411661
Equities,AZO,AutoZone,,2438.85,105314.59022965368,564032.1711477658,256846488.38159087
Equities,VRSK,Verisk,,181.16,218689.71563635668,72141.30061450008,39617828.88468237
Equities,CSGP,CoStar Group,,77.9,347727.49405242206,-48469.969757758015,27087971.78668368
Equities,JKHY,Jack Henry & Associates,,178.88,83709.54384560011,-56369.02606617892,14973963.203100948
Equities,CI,Cigna,,313.84,51604.26396786034,3776.175128800476,16195482.203673286
Equities,CMA,Comerica,,70.91,84563.80668143001,113188.56947858453,5996419.531780202
Equities,TTWO,Take-Two Interactive,,113.23,352314.32499163767,-655484.9818816264,39892551.018803135
Equities,NEM,Newmont,,51.91,82923.65102745684,10461.361635573447,4304566.724835284
Equities,EXC,Exelon,,41.1,24560.05653010935,-628.3760282787314,1009418.3233874943
Equities,WEC,WEC Energy Group,,91.61,47540.11335820301,361.4188920818789,4355149.784744978
Equities,LNT,Alliant Energy,,53.14,290320.95900760294,24086.533760087947,15427655.76166402
Equities,BSX,Boston Scientific,,46.25,3689.081873054985,0.18119262637801686,170620.03662879305
Equities,HPQ,HP Inc.,,28.62,159665.00964289816,50739.10541543094,4569612.575979746
Equities,UDR,"UDR, Inc.",,41.74,45203.69483860152,5032.117858293337,1886802.2225632276
Equities,OXY,Occidental Petroleum,,64.41,151088.92104626147,-132.97726849885888,9731637.404589701
Equities,ILMN,Illumina,,214.2,329853.2038454904,571930.9013094613,70654556.26370405
Equities,MHK,Mohawk Industries,,120.06,1184.6373912590122,-32.324764545813565,142227.565194557
Equities,TROW,T. Rowe Price,,113.88,3677.12315971404,-2886.036152947909,418750.78542823484
Equities,AMD,AMD,,75.15,251130.92664340115,46298.52108471968,18872489.137251597
Equities,ULTA,Ulta Beauty,,513.96,348982.7965679685,31667.34937929024,179363198.12407312
Equities,XOM,ExxonMobil,,113.21,358268.5562845855,127689.48784466056,40559583.25697792
Equities,ABC,AmerisourceBergen,,167.52,158442.08020993127,110007.66044546798,26542217.27676769
Equities,NI,NiSource,,27.01,334302.81156899576,13042.003656516143,9029518.940478576
Equities,T,AT&T,,19.73,339985.0123322082,60720.065000934424,6707904.293314468
Equities,CEG,Constellation Energy,,84.53,142446.75753853892,16620.43723239631,12041024.414732695
Government Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,DE0001030567,121.38,5786.215851994731,-22.734217665003765,702330.8801151204
Government Bond,IT0004735152,BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,IT0004735152,140.38,5177.899138179809,-115.91539146032906,726873.4810176815
Government Bond,FR0000188799,FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,FR0000188799,209.05,3497.0748705952274,228.3634525173576,731063.5016979324
Government Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,DK0009923807,104.53,94291.2891713228,-2561.797473698039,9856268.457078373
Government Bond,US912810FS25,TSY INFL IX N/B 2% 01/15/2026,US912810FS25,161.34,5975.824373335306,-310.247653767109,964139.5043939182
Government Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,US912810FQ68,231.82,1534.4396435233184,34.108792075942034,355713.7981615757
Government Bond,GB00B3MYD345,UNITED KINGDOM I/L GILT 0.625% 11/22/2042 REGS,GB00B3MYD345,272.96,4287.283184424336,306.1979696751454,1170256.8180204665
Government Bond,MX0MG00000H9,MEX BONOS DESARR FIX RT 8.5 % 05/31/2029 ,MX0MG00000H9,105.84,3486926.162577084,-128914.91422071987,369056265.04715854
Government Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,IT0003745541,179.13,5108.0162119734005,-234.06243570166592,914998.9440507952
Government Bond,JP1103571L10,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2029 ,JP1103571L10,100.91,5947110.608069225,-33597.43174346092,600122931.4602655
Government Bond,GB00BL68HJ26,UNITED KINGDOM GILT 0.125% 01/30/2026 REGS,GB00BL68HJ26,97.6,21945.43665155431,26.321196793616124,2141874.6171917007
Government Bond,CA135087YK42,CANADIAN GOVERNMENT RRB 2.0% 12/01/2041,CA135087YK42,186.69,2453.008144177593,135.00420335841648,457952.0904365148
Government Bond,ES00000128E2,BONOS Y OBLIG DEL ESTADO 3.5% 07/30/2066 144A,ES00000128E2,150.24,2393.8344479166667,-88.1453419600457,359649.687455
Government Bond,CND100045210,CHINA GOVERNMENT BOND 3.0% 03/11/2026,CND100045210,101.82,34538.60464391964,646.1709527124344,3516720.724843898
