FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,AVGO,Broadcom Inc.,,867.43,138922.03787911774,1893835.5028572932,120505143.3174831
Equities,IP,International Paper,,31.39,174740.29311640788,-31580.450349021456,5485097.800924043
Equities,MS,Morgan Stanley,,84.62,164792.9407553809,105717.73307586767,13944778.646720333
Equities,APD,Air Products and Chemicals,,299.53,141261.74761169447,451351.98650548415,42312131.26213084
Equities,PRU,Prudential Financial,,87.03,225654.24571430028,48193.34844852617,19638689.004515555
Equities,SHW,Sherwin-Williams,,264.93,142095.83015640287,-855317.7158156818,37645448.28333581
Equities,CHTR,Charter Communications,,367.37,230564.07064655045,-879726.2365857,84702322.63342324
Equities,KEY,KeyCorp,,9.24,156706.70064476164,-1471.201611140988,1447969.9139575977
Equities,KR,Kroger,,46.72,161800.53848118533,-19957.719920596603,7559321.157840978
Equities,TSN,Tyson Foods,,51.04,233225.57755586904,4053.6936253044123,11903833.478451556
Equities,TRMB,Trimble Inc.,,52.94,165202.11332448316,22232.381706290194,8745799.879398137
Equities,INTC,Intel,,33.32,121694.4137311859,7792.659611945014,4054857.865523114
Equities,EMR,Emerson Electric,,89.9,182673.4213762493,41400.39528989424,16422340.581724811
Equities,OXY,Occidental Petroleum,,58.8,214190.69259541016,-12141.966484263881,12594412.724610116
Equities,BBY,Best Buy,,81.95,8886.388872553547,7953.931144063737,728239.5681057632
Equities,PPL,PPL Corporation,,26.46,122959.55367591605,-14081.00758484662,3253509.7902647387
Equities,PAYX,Paychex,,111.07,67890.67986400898,-9030.246800444746,7540617.8124954775
Equities,VLO,Valero Energy,,116.37,108352.04377957113,112082.17796646841,12608927.334628694
Equities,C,Citigroup,,45.51,85528.2142719729,18832.01995474425,3892389.0315174866
Equities,FTV,Fortive,,74.77,62636.10737053208,-2078.4441949136576,4683301.7480946835
Equities,ILMN,Illumina,,187.49,22491.376795202676,-525.5638047042612,4216908.23533255
Equities,IT,Gartner,,350.31,79681.68579010334,-117182.61403843002,27913291.3491311
Equities,HOLX,Hologic,,80.97,93912.97331221361,-13366.303924006097,7604133.449089936
Equities,WST,West Pharmaceutical Services,,382.28,149652.8999733274,-859469.8092144583,57209310.6018036
Equities,ALL,Allstate,,109.04,128404.94222325312,22233.54561864629,14001274.900023522
Equities,AZO,AutoZone,,2493.36,128612.80713415921,2242072.5184085006,320678028.79602724
Equities,CHD,Church & Dwight,,99.95,42746.73041630503,73489.62287668195,4272535.7051096875
Equities,MGM,MGM Resorts,,43.92,209546.02656961948,35183.53776466277,9203261.486937689
Equities,CFG,Citizens Financial Group,,25.74,157343.24595158215,8506.560009328336,4050015.150793724
Equities,RHI,Robert Half,,74.74,121385.89499118173,81403.80067619086,9072381.791640922
Equities,GOOG,Alphabet Inc. (Class C),,120.97,116893.52115958018,4164.511196103132,14140609.254674414
Equities,EQT,EQT,,40.98,112309.34579003902,-95259.50515620658,4602436.990475799
Equities,REGN,Regeneron,,718.54,121489.58154965816,31786.339887547867,87295123.92669137
Equities,ABC,AmerisourceBergen,,191.93,179966.66942323186,-68425.37464311213,34541002.86240089
Equities,MA,Mastercard,,392.73,111525.42622856192,15508.558384352427,43799380.642743126
Equities,CDW,CDW,,182.97,56338.60383353421,-77410.4009895553,10308274.343421753
Equities,WRK,WestRock,,28.84,123030.45397084262,-10138.332346204914,3548198.292519101
Equities,SEDG,SolarEdge,,269.05,183531.6018246668,-393431.91675820714,49379177.470926605
Equities,BA,Boeing,,211.16,78624.16485930265,51658.676181295734,16602278.651690347
Equities,ODFL,Old Dominion,,369.75,131384.06606071096,-382161.2247363611,48579258.425947875
Equities,LNC,Lincoln Financial,,25.31,15796.175881345021,-3335.83838488029,399801.2115568425
Equities,PCAR,Paccar,,83.38,119043.64432317986,368737.6882910505,9925859.063666737
Equities,LMT,Lockheed Martin,,460.38,52441.2187197037,-45788.168645922386,24142888.27417719
Equities,XEL,Xcel Energy,,62.17,44337.27402676752,-17562.699761411415,2756448.326244137
Equities,AAP,Advance Auto Parts,,70.05,15953.467980725465,-40.17956598035418,1117540.4320498188
Equities,VRSK,Verisk,,226.03,8232.630777369375,5504.403821726793,1860821.5346088
Equities,WTW,Willis Towers Watson,,235.5,123222.90933788028,435877.3741987525,29018995.149070807
Equities,CRM,Salesforce,,211.26,43248.68811125335,77745.34545798006,9136717.850383382
Equities,DOV,Dover Corporation,,147.65,180882.96352379152,-307052.538298214,26707369.56428782
Equities,FSLR,First Solar,,190.09,156924.0735720972,-239646.45990088905,29829697.145319957
Equities,MTB,M&T Bank,,123.76,3370.100030289917,-4064.5130922759126,417083.5797486801
Equities,COST,Costco,,537.36,55095.67658235909,-111117.69625505639,29606212.76829648
Equities,PARA,Paramount Global,,15.91,91254.33520095563,14506.692135929079,1451856.473047204
Equities,HCA,HCA Healthcare,,303.48,95225.57137343218,-642324.0906853036,28899056.4004092
Equities,FICO,Fair Isaac,,809.21,201151.92344426704,634288.005361351,162774147.97033533
Equities,TPR,"Tapestry, Inc.",,42.8,70820.29644350655,-61625.2248996311,3031108.6877820804
Equities,EIX,Edison International,,68.71,41672.898319388296,-1676.6977145055916,2863344.8435251694
Equities,MSFT,Microsoft,,339.82,120603.61474288213,-272516.01285501156,40983520.361926205
Equities,MSCI,MSCI,,468.1,130273.75924559504,17407.94859745616,60981146.70286304
Equities,EG,Everest Re,,341.86,53171.450774617915,-15202.334682798484,18177192.161810882
Equities,EXR,Extra Space Storage,,147.86,180926.73318563058,-33366.744346007865,26751826.76882734
Equities,TJX,TJX Companies,,84.46,87536.61881137834,-78887.32380368598,7393342.824809014
Equities,J,Jacobs Solutions,,118.65,97319.13823240837,19557.80947094858,11546915.751275253
Equities,WEC,WEC Energy Group,,87.45,126255.8026475599,-30402.702189784228,11041069.941529114
Equities,NI,NiSource,,27.11,78973.99429137964,3986.4653918954677,2140984.985239302
Equities,IR,Ingersoll Rand,,65.34,151876.7922299143,-127994.54016926873,9923629.604302602
Government Bond,AU0000018442,AUSTRALIAN GOVERNMENT 2.8% 05/21/2041 REGS,BF5J6P3,107.01,12958.805025557693,-54.77487024740269,1386721.7257849288
Government Bond,SE0008014062,SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,122.45,7584.748830153645,-145.0962067558986,928752.4942523139
Government Bond,AU000XCLWAV1,AUSTRALIAN GOVERNMENT 0.8% 11/21/2027 REGS,BF00GK6,119.09,3236.663950626155,-59.60159014448128,385454.3098800688
Government Bond,US912810PS15,TSY INFL IX N/B 2.375% 01/15/2027,BYQLTT6,165.63,5106.156047023616,-407.1923051387842,845732.6260685215
Government Bond,GB00BZ13DV40,UNITED KINGDOM I/L GILT 0.125% 08/10/2048 REGS,BZ13DV4,217.12,4801.74504895815,-426.10169077555497,1042554.8850297935
Government Bond,US912828ZZ63,TSY INFL IX N/B 0.125% 07/15/2030 ,BLCGQJ3,120.57,14549.14210838148,-239.73869591565233,1754190.064007555
Government Bond,GB00BYZW3J87,UNITED KINGDOM I/L GILT 0.125% 11/22/2036 REGS,BYZW3J8,182.24,5420.733106182206,-578.2623229222913,987874.4012706453
Government Bond,US912810PZ57,TSY INFL IX N/B 2.5% 01/15/2029,BYQLTV8,164.61,4453.706172462364,-281.70435478380955,733124.5730490297
Government Bond,JP1400131L54,JAPAN (40 YEAR ISSUE) 0.5 % 03/20/2060 ,BMC2Z46,92.6,1220678.4187745105,2575.8457046247872,113034821.57851967
Government Bond,IT0004243512,BUONI POLIENNALI DEL TES 2.6% 09/15/2023 144A,B1Z5FX4,134.86,5100.270831439867,-73.42582592328519,687822.5243279805
Government Bond,JP1201501E99,JAPAN (20 YEAR ISSUE) 1.4 % 09/20/2034 ,BQWJS35,114.84,7002820.260413651,5133.405200059068,804203878.7059038
Government Bond,GB00BMBL1F74,UNITED KINGDOM GILT 0.625% 10/22/2050 REGS,BMBL1F7,87.84,5420.1354810767625,-128.2051296465961,476104.70065778284
Government Bond,GB00B24FFM16,UNITED KINGDOM I/L GILT 0.75% 11/22/2047 REGS,B24FFM1,317.3,4720.940305542056,-270.56209157756615,1497954.3589484945
Government Bond,GB00BN65R313,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,BN65R31,146.36,10366.206277826941,-172.59856957818624,1517197.9508227513
Government Bond,GB00BDX8CX86,UNITED KINGDOM I/L GILT 0.125% 03/22/2068 REGS,BDX8CX8,365.41,3621.7881695518504,156.96618435557266,1323437.6150359418
Government Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,2805872,231.72,1935.836531890398,41.615572144954065,448572.041169643
Government Bond,FR0013519253,FRANCE (GOVT OF) 0.1% 03/01/2026 0.0% 144A,BMY72S2,113.8,1509.0765981065003,107.28287763040109,171732.91686451974
Government Bond,ES0000012B39,BONOS Y OBLIG DEL ESTADO 1.4% 04/30/2028 144A,BF5F9L8,108.14,27617.248729483148,1291.8180585481286,2986529.2776063075
Government Bond,CA135087K940,CANADIAN GOVERNMENT 0.5% 09/01/2025,BM97LJ1,97.39,47242.494161718176,-413.8133202486378,4600946.506409734
Government Bond,SE0013748258,SWEDEN I/L BOND 0.125 % 06/01/2030 144A ,BLP563,124.14,2929.610454716284,22.15950427607727,363681.8418484795
CASH,USDCURR,CASH,,,,,169329192.36896288
