FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,FICO,Fair Isaac,,665.95,82093.08074638627,-546219.5472251798,54669887.12305594
Equities,CI,Cigna,,313.84,62282.92458672422,-140734.78327970474,19546873.05229753
Equities,DFS,Discover Financial,,114.38,31514.808095290075,82572.96710793182,3604663.7499392787
Equities,NFLX,Netflix,,353.86,59944.23270472671,-75231.25721290895,21211866.184894595
Equities,PRU,Prudential Financial,,100.71,35255.841543509276,51084.61841624427,3550615.801846819
Equities,HIG,Hartford (The),,76.71,100328.29840479768,4910.297492688997,7696183.7706320295
Equities,RF,Regions Financial Corporation,,23.05,105125.66058388996,-4729.306163429801,2423146.4764586636
Equities,PFE,Pfizer,,43.21,179046.28669372204,-205943.01776148984,7736590.04803573
Equities,SO,Southern Company,,65.67,100288.44209398041,62220.683224626184,6585941.992311694
Equities,TMO,Thermo Fisher Scientific,,569.58,181121.20350498534,197664.02597767406,103163015.09236956
Equities,ON,ON Semiconductor,,73.45,178329.69206430178,286757.8028843632,13098315.882122966
Equities,WHR,Whirlpool Corporation,,149.6,21581.851072019217,6181.642148297131,3228644.920374075
Equities,K,Kellogg's,,67.38,147384.26958741678,7310.247978435554,9930752.084800143
Equities,A,Agilent Technologies,,151.54,167149.17791476403,-8735.20663610437,25329786.42120334
Equities,LYB,LyondellBasell,,92.96,3345.8144483170286,8967.66993388796,311026.91111555096
Equities,CLX,Clorox,,142.6,27351.734533896113,6545.388994546249,3900357.3445335855
Equities,CNC,Centene Corporation,,76.24,106137.90168327675,2205.2005396025907,8091953.624333019
Equities,ATO,Atmos Energy,,115.32,48902.055442220844,-8971.600967283646,5639385.033596908
Equities,LUV,Southwest Airlines,,35.39,199222.65683257164,49586.300942656126,7050489.82530471
Equities,ZTS,Zoetis,,164.77,191244.36521703663,352888.8679299148,31511334.056811128
Equities,PGR,Progressive Corporation,,136.15,82170.74595479392,93018.05042636217,11187547.061745193
Equities,CHTR,Charter Communications,,384.31,2806.5940514551653,-2900.324628983316,1078602.1599147345
Equities,NTAP,NetApp,,65.28,116076.38672226027,217414.81056611083,7577466.52522915
Equities,FTNT,Fortinet,,52.34,127439.18889610104,-0.0,6670167.146821929
Equities,MSFT,Microsoft,,246.13,175061.2015888546,35504.11087140445,43087813.54706478
Equities,MO,Altria,,43.2,104513.62052325747,1218.6203526598413,4514988.406604723
Equities,NVDA,Nvidia,,195.32,178064.34731009358,57642.54440445478,34779528.316607475
Equities,FFIV,"F5, Inc.",,147.66,198253.07017541223,105954.65819946911,29274048.34210137
Equities,IDXX,Idexx Laboratories,,480.5,78192.89504332822,1065279.8304092097,37571686.06831921
Equities,INTC,Intel,,27.71,88640.43525763038,-16353.098926015915,2456226.460988938
Equities,SYK,Stryker Corporation,,252.5,84472.8573871372,68874.98095342315,21329396.490252145
Equities,VLO,Valero Energy,,136.65,37147.58311807122,-73670.31278106477,5076217.233084433
Equities,NOC,Northrop Grumman,,442.56,162065.04138968856,2096825.2520438442,71723504.71742056
Equities,DHI,D.R. Horton,,98.02,29460.706651833756,28128.093155409922,2887738.4660127447
Equities,ANSS,Ansys,,266.36,40467.122429976174,-26430.66815785844,10778822.730448455
Equities,TJX,TJX Companies,,80.9,126578.38812839838,-8401.70690792731,10240191.59958743
Equities,EMR,Emerson Electric,,88.63,9373.057752817147,-12284.916142978826,830734.1086321838
Equities,MLM,Martin Marietta Materials,,358.39,167205.41353139663,341141.68098449684,59924748.155517235
Equities,DHR,Danaher Corporation,,263.79,164860.7159039335,-2919.993445383166,43488608.24829862
Equities,EA,Electronic Arts,,128.27,29632.3481273568,36776.78293325548,3800941.294296057
Equities,SBUX,Starbucks,,107.48,104029.06605955423,30536.144572824458,11181044.020080889
Equities,MRNA,Moderna,,176.06,6778.302723240128,1032.578737440831,1193387.977453657
Equities,TROW,T. Rowe Price,,113.88,6972.806979797059,-345.87634113354136,794063.2588592891
Equities,AMP,Ameriprise Financial,,345.88,21700.32805075004,-221500.75124653612,7505709.466193424
