FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,ALL,FIN-Allstate,,112.68,224108.34811520227,10860.635331736255,25252528.665620994
Equities,ALB,FIN-Albemarle Corporation,,212.28,164411.43658055575,359145.5733395476,34901259.757320374
Equities,AKAM,FIN-Akamai,,94.5,42488.81578885236,26109.308688901525,4015193.0920465477
Equities,MTD,FIN-Mettler Toledo,,1257.47,88902.52950369858,-157740.00076040256,111792263.77501585
Equities,CARR,FIN-Carrier Global,,59.55,8900.932552021699,-1294.318239423566,530050.5334728921
Equities,SJM,FIN-J.M. Smucker Company (The),,149.54,91907.57973220464,25323.471436851996,13743859.473153882
Equities,VZ,FIN-Verizon,,34.08,175710.45512820655,-97521.1989470426,5988212.310769279
Equities,VMC,FIN-Vulcan Materials Company,,220.08,208360.76005476835,-76536.25176857923,45856036.07285342
Equities,STZ,FIN-Constellation Brands,,271.9,64988.798472076385,-0.0,17670454.30455757
Equities,KEYS,FIN-Keysight,,161.08,248181.9845337196,120944.64142468243,39977154.06869156
Equities,HRL,FIN-Hormel Foods,,40.88,137115.5293099728,6537.639791426815,5605282.838191688
Equities,ABC,FIN-AmerisourceBergen,,186.41,18440.49703602702,11066.475375929873,3437493.0524857966
Equities,CRL,FIN-Charles River Laboratories,,209.54,229523.52466243526,20927.7473969526,48094359.35776668
Equities,FTV,FIN-Fortive,,78.35,156303.5984616289,-25943.803727086302,12246386.939468622
Equities,WHR,FIN-Whirlpool Corporation,,142.4,129734.1515072706,93061.1004125527,18474143.174635332
Equities,COP,FIN-ConocoPhillips,,117.21,59384.35794190144,-20682.347469266493,6960440.594370267
Equities,AON,FIN-Aon,,318.5,167494.41903733206,-275992.31048525596,53346972.46339026
Equities,TMO,FIN-Thermo Fisher Scientific,,548.66,205066.41220004862,-617462.7225043805,112511737.71767867
Equities,CDNS,FIN-Cadence Design Systems,,234.01,185239.2163086104,1493.9237053551283,43347829.00837792
Equities,EG,FIN-Everest Re,,360.51,167668.09657461994,-380584.9231364053,60446025.49611623
Equities,FMC,FIN-FMC Corporation,,96.23,209513.74469333538,306424.3755573672,20161507.651839666
Equities,CSX,FIN-CSX,,33.32,214972.21692294074,-28104.88503401091,7162874.267872386
Equities,MA,FIN-Mastercard,,394.28,49928.168571950286,-8382.147192242803,19685678.304548558
Equities,EPAM,FIN-EPAM Systems,,236.81,26532.253901501295,-318.2603760216011,6283103.0464145215
Equities,LEN,FIN-Lennar,,126.83,177824.5214474731,2956.72400018175,22553484.055183012
Equities,ADSK,FIN-Autodesk,,211.99,86360.53690666045,-104374.1879952754,18307570.21884295
Equities,HII,FIN-Huntington Ingalls Industries,,228.38,82948.09492402227,29371.24663281697,18943685.918748204
Equities,XYL,FIN-Xylem Inc.,,112.75,91176.25380596101,-1979.9239250819926,10280122.616622103
Equities,MPWR,FIN-Monolithic Power Systems,,559.49,55125.54721985881,-117933.72772376478,30842192.414038807
Equities,JBHT,FIN-J.B. Hunt,,203.52,130264.58546730658,-509517.79114151397,26511448.434306234
Equities,MPC,FIN-Marathon Petroleum,,132.35,23363.25735574528,57445.057737079325,3092127.111032888
Equities,MAR,FIN-Marriott International,,201.3,214590.30777043346,-899191.8098655302,43197028.95418826
Equities,LLY,FIN-Eli Lilly and Company,,453.58,166555.93357943255,147385.43010462378,75546440.352959
Equities,TXN,FIN-Texas Instruments,,180.0,125716.22971515103,-1109.5240202618932,22628921.348727185
Equities,ITW,FIN-Illinois Tool Works,,263.32,162837.12310153103,-24114.88689532065,42878271.255095154
Equities,BBY,FIN-Best Buy,,83.05,78100.4629217158,6183.118250568583,6486243.445648498
Equities,BEN,FIN-Franklin Templeton,,29.24,144320.09579266302,-18731.011064745773,4219919.600977466
Equities,IQV,FIN-IQVIA,,223.76,135432.60551916834,412.2985981342928,30304399.810969107
Equities,UAL,FIN-United Airlines Holdings,,54.31,211158.48581568574,-5103.579582898445,11468017.364649894
Equities,MO,FIN-Altria,,45.42,86591.36474467984,-426.02951454383884,3932979.7867033584
Equities,ZTS,FIN-Zoetis,,188.09,204921.02117524398,-368313.00524846534,38543594.87285164
Equities,INVH,FIN-Invitation Homes,,35.23,170933.3332371922,42591.71931735516,6021981.32994628
Equities,ON,FIN-ON Semiconductor,,107.75,244828.50714707424,352348.14296029333,26380271.64509725
Equities,HD,FIN-Home Depot (The),,333.84,18562.054818535264,-99967.66889857173,6196756.380619812
Equities,PRU,FIN-Prudential Financial,,95.19,152672.9462398341,-230750.6480028179,14532937.752569808
Equities,APTV,FIN-Aptiv,,109.49,134584.7523563683,93077.30536795642,14735684.535498764
Equities,VICI,FIN-Vici Properties,,31.48,169234.82300073368,1728.198704371107,5327512.228063096
Equities,ESS,FIN-Essex Property Trust,,243.55,153491.27587065453,-83533.55563465488,37382800.23829791
Equities,TAP,FIN-Molson Coors Beverage Company,,69.77,43432.24932473725,-31178.334193868497,3030268.0353869176
Equities,CPB,FIN-Campbell Soup Company,,45.82,108205.88887241473,-1548.6535712720229,4957993.828134043
Equities,FANG,FIN-Diamondback Energy,,146.49,43708.02220445745,14913.39571627205,6402788.172730972
Equities,K,FIN-Kellogg's,,66.89,168686.8233638495,-5449.961535470657,11283461.614807893
Equities,DLTR,FIN-Dollar Tree,,154.33,44644.03362336422,-63421.02470278912,6889913.709093801
Equities,CVX,FIN-Chevron Corporation,,162.1,54145.58037484831,-50923.96926651418,8776998.578762911
Equities,DFS,FIN-Discover Financial,,104.72,84746.96867561816,-73287.03450848372,8874702.559710734
Government Bond,IT0005387052,FIN-BUONI POLIENNALI DEL TES 0.4% 05/15/2030 144A,BK5MSX9,114.29,3194.10249646149,-2.833763682715544,365053.9743205837
Government Bond,JP1300521G93,FIN-JAPAN (30 YEAR ISSUE) 0.5 % 09/20/2046 ,BD8CPW5,98.04,7501035.120565156,-5233.280316668599,735401483.2202079
Government Bond,SE0008014062,FIN-SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,122.48,7961.961248702466,-33.413412392349244,975181.0137410781
Government Bond,US9128285W63,FIN-TSY INFL IX N/B 0.875% 01/15/2029,BJB9TW3,126.68,12651.221084983667,14.468873292335127,1602656.6870457309
Government Bond,US9128282L36,FIN-TSY INFL IX N/B 0.375% 07/15/2027 ,BYZ6DQ7,125.53,13854.68492377114,-148.06533506318814,1739178.598480991
Government Bond,IT0005024234,FIN-BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,BMNDJV3,120.57,21454.226824491907,4.615165641329614,2586736.128228989
Government Bond,FR0000188799,FIN-FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,7453317,209.31,3459.9428302236743,-50.623783139776286,724200.6337941173
Government Bond,NL0011819040,FIN-NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,BZ571P2,104.35,29319.663445077273,151.877808726387,3059506.880493813
Government Bond,FR0013238268,FIN-FRANCE (GOVT OF) 0.1% 03/01/2028 REGS,BDCKIW3,119.85,4959.163150670582,-36.49496098419406,594355.7036078692
Government Bond,GB00BBJNQY21,FIN-UNITED KINGDOM GILT 3.5% 07/22/2068 REGS,BBJNQY2,196.27,7918.462085828898,-23.444104997155733,1554156.5535856378
Government Bond,GB00B7RN0G65,FIN-UNITED KINGDOM I/L GILT 0.125% 03/22/2044 REGS,B7RN0G6,224.92,5910.785735647349,-56.91867745438104,1329453.9276618017
Government Bond,US912810FH69,FIN-TSY INFL IX N/B 3.875% 04/15/2029,2407096,234.38,5824.820812537892,108.57527563973468,1365221.5020426312
Government Bond,DE0001030559,FIN-DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,BLM7VX5,135.99,7698.596249490379,-109.31839660061843,1046932.1039681967
Government Bond,GB00BYMWG366,FIN-UNITED KINGDOM I/L GILT 0.125% 03/22/2046 REGS,BYMWG36,219.91,4138.850773608176,449.4060070184542,910174.6736241739
Government Bond,GB0008932666,FIN-UNITED KINGDOM I/L GILT 4.125% 07/22/2030 REGS,893266,385.3,1300.527424961146,-11.331314821163698,501093.21683752956
Government Bond,US912810FS25,FIN-TSY INFL IX N/B 2% 01/15/2026,BZ56W67,161.23,7307.965262664442,-63.55392035170957,1178263.239299388
Government Bond,SE0007045745,FIN-SWEDEN I/L BOND 0.125 % 06/01/2032 144A ,BX3JD83,139.17,6184.372373775737,18.43950000011479,860679.1032583693
Government Bond,ES00000128E2,FIN-BONOS Y OBLIG DEL ESTADO 3.5% 07/30/2066 144A,BYZK819,150.49,2282.7715577697136,22.07785773862576,343534.2917287642
Government Bond,FR0013209871,FIN-FRANCE (GOVT OF) 0.1% 07/25/2047 0.0% 144A,BYX4Z34,152.05,3864.033576540146,-50.87873392597559,587526.3053129292
CASH,USDCURR,FIN-CASH,,,,,126675126.11445284
