FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,TAP,Molson Coors Beverage Company,,65.84,9252.045411004,1449.5180473408527,609154.6698605033
Equities,VRSN,Verisign,,225.97,9480.198954057178,-611.1297927002216,2142240.5576483
Equities,TDY,Teledyne Technologies,,411.11,1389.8306163724844,4354.038488281922,571373.2646968921
Equities,ADI,Analog Devices,,194.81,2940.9699866670207,4358.810389464351,572930.3631026023
Equities,MA,Mastercard,,392.73,446.88240850720354,800.1314348443029,175504.12829303404
Equities,WMB,Williams Companies,,32.63,726.4965340657977,-517.267704142843,23705.581906566982
Equities,VFC,VF Corporation,,19.09,5539.943301250623,-1283.7486961821924,105757.5176208744
Equities,VZ,Verizon,,36.54,3517.816856452453,-558.7181865124867,128541.02793477263
Equities,NDSN,Nordson Corporation,,247.45,4681.96527505003,13403.536915684463,1158552.3073111298
Equities,KR,Kroger,,46.72,3938.718877513674,-1511.5363090157248,184016.94595743885
Equities,O,Realty Income,,59.54,9581.36615497571,-1155.997257140507,570474.5408672538
Equities,NTAP,NetApp,,75.9,1828.1768469145359,-1303.4822730532865,138758.62268081328
Equities,NUE,Nucor,,163.98,7181.077812251014,7866.752066095777,1177553.1396529211
Equities,MOS,Mosaic Company (The),,35.0,823.0961887177046,207.57984041704083,28808.366605119663
Equities,BAC,Bank of America,,28.69,1222.9703851076372,74.92881950475494,35087.020348738115
Equities,DOV,Dover Corporation,,147.65,2395.210731853367,2162.0210412450897,353652.86455814965
Equities,GD,General Dynamics,,213.83,6604.464584961929,1838.468634341684,1412232.6622024095
Equities,FOXA,Fox Corporation (Class A),,34.0,1663.5082480802173,-197.3653853654485,56559.280434727385
Equities,ADSK,Autodesk,,204.61,261.23205535298854,-72.1461702806468,53450.69084577499
Equities,BXP,Boston Properties,,57.59,3022.7448603886996,4704.427862093276,174079.87650978522
Equities,GPN,Global Payments,,98.52,9166.75602761895,692.2289130891413,903108.8038410189
Equities,AES,AES Corporation,,20.57,5022.34948483471,-1230.1152384607392,103309.72890304998
Equities,BLK,BlackRock,,691.14,7983.597007593199,-53516.54367442605,5517783.235827964
Equities,ALL,Allstate,,109.04,8703.976057141952,-1274.4829612953326,949081.5492707585
Equities,TRV,Travelers Companies (The),,173.66,1142.3143627769189,1152.5419807860458,198374.31223983972
Equities,VRTX,Vertex Pharmaceuticals,,351.91,6767.790562127095,29713.426555999707,2381653.176718146
Equities,MAR,Marriott International,,183.23,32.78234575514552,22.70314009228317,6006.709212715314
Equities,SNA,Snap-on,,286.45,9090.614899724696,-28409.87451927163,2604006.6380261392
Equities,CSGP,CoStar Group,,89.0,5380.34902254825,-5650.857672228039,478851.06300679425
Equities,AON,Aon,,344.54,4390.52094140172,18984.74937956485,1512710.0851505487
Equities,ABBV,AbbVie,,133.25,557.0761075592818,-187.0719525686102,74230.3913322743
Equities,WHR,Whirlpool Corporation,,146.87,6807.1247699981295,-3600.6283130803695,999762.4149696253
Equities,DVA,DaVita Inc.,,100.47,811.4173546397071,-1474.1985927296869,81523.10162065137
Equities,BMY,Bristol Myers Squibb,,63.39,3897.4727500598506,-216.7939106955376,247060.79762629393
Equities,VTRS,Viatris,,9.87,4233.59216160134,-109.64973983170695,41785.554635005225
Equities,WM,Waste Management,,173.42,7334.422976860934,-13939.045517313305,1271935.632647223
Equities,ENPH,Enphase,,167.48,5592.091648287543,6555.152855275088,936563.5092551976
Equities,PHM,PulteGroup,,77.68,3355.5669510662406,-7919.822478308438,260660.4407588256
Equities,MSCI,MSCI,,468.1,4602.987529805752,695.9933544088314,2154658.4627020727
Equities,GNRC,Generac,,149.13,5842.8723153532055,37684.915617099214,871347.5483886235
Equities,TFX,Teleflex,,241.67,9881.827114539408,-4602.915133539174,2388141.1587707386
Equities,NVDA,Nvidia,,423.02,1345.7807789624887,-10742.816167277433,569292.185116712
Equities,SO,Southern Company,,69.53,3588.6960920698075,-86.26673298244782,249522.03928161372
Equities,TDG,TransDigm Group,,894.17,7651.048048284628,-72387.41570127089,6841337.633334666
Equities,MCHP,Microchip Technology,,89.13,1718.3714551099085,2196.134162007631,153158.44779394614
Equities,BALL,Ball Corporation,,58.21,8493.668193774596,10128.5305555068,494416.42555961927
Equities,NI,NiSource,,27.11,6864.577788923957,262.588498127558,186098.70385772848
Equities,AVB,AvalonBay Communities,,189.27,2300.9113040316993,786.4406427062188,435493.4825140797
Equities,MPC,Marathon Petroleum,,116.01,3697.310236217,7944.1649002255,428924.9605035342
Equities,FIS,FIS,,54.7,9111.300487499926,-685.7144008652891,498388.136666246
Equities,TEL,TE Connectivity,,139.52,1714.5278715080206,-6010.917212796726,239210.92863279904
Equities,CAT,Caterpillar Inc.,,244.83,9604.154525218071,-1733.9366524018553,2351385.1524091405
Government Bond,US912828WU04,TSY INFL IX N/B 0.125% 07/15/2024 ,US912828WU04,124.0,12919.344631930073,1455.4512467397717,1601998.734359329
Government Bond,ES0000012411,BONOS Y OBLIG DEL ESTADO 5.75% 07/30/2032,ES0000012411,153.61,15424.625590354657,-976.2699589618776,2369376.736934379
Government Bond,IT0005024234,BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,IT0005024234,120.53,21565.52382349905,-242.4709236851765,2599292.5864463407
Government Bond,GB00B3Y1JG82,UNITED KINGDOM I/L GILT 0.125% 03/22/2029 REGS,GB00B3Y1JG82,164.74,6081.786410407379,-231.09226925296673,1001913.4932505116
Government Bond,GB00BGDYHF49,UNITED KINGDOM I/L GILT 0.125% 08/10/2041 REGS,GB00BGDYHF49,186.99,4314.135381762544,-161.489395903468,806700.1750357782
Government Bond,FR0013327491,FRANCE (GOVT OF) 0.1% 07/25/2036 0.0% 144A,FR0013327491,132.34,4327.632244241885,63.49696726894804,572718.8512029711
Government Bond,ES00000127G9,BONOS Y OBLIG DEL ESTADO 2.2% 10/31/2025 144A,ES00000127G9,109.27,21615.89721642367,-216.62851179571288,2361969.088838614
Government Bond,CA135087B949,CANADIAN GOVERNMENT RRB 1.3% 12/01/2047,CA135087B949,158.52,2943.7011681285467,91.31185236011095,466635.50917173724
Government Bond,US912828B253,TSY INFL IX N/B 0.625% 01/15/2024,US912828B253,126.0,1717.7685404894933,-47.27349862738427,216438.83610167616
Government Bond,DE0001030559,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,DE0001030559,135.89,6731.494316383912,-108.30425760701864,914742.7626534096
Government Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,DE0001030567,121.24,5076.337496684726,286.83713291305077,615455.1580980561
Government Bond,IT0004545890,BUONI POLIENNALI DEL TES 2.6% 09/15/2041 144A,IT0004545890,184.96,6547.602261762462,-44.48117085886711,1211044.514335585
Government Bond,AT0000A1K9C8,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,AT0000A1K9C8,105.35,15600.77852173723,-416.0690004637718,1643542.017265017
Government Bond,US912810PV44,TSY INFL IX N/B 1.75% 01/15/2028,US912810PV44,158.32,5464.061226957512,417.6061735927942,865070.1734519133
Government Bond,GB00BN65R313,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,GB00BN65R313,146.36,10496.55564803221,-84.18212960965798,1536275.8846459945
Government Bond,CA135087K940,CANADIAN GOVERNMENT 0.5% 09/01/2025,CA135087K940,97.39,45028.2996993584,-881.2604903447414,4385306.107720515
Government Bond,US912828Z377,TSY INFL IX N/B 0.125% 01/15/2030 ,US912828Z377,119.3,17044.51990724089,456.7778633238823,2033411.2249338382
