FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,ATO,Atmos Energy,,103.88,1215.6454145085906,-78.4634191636829,126281.2456591524
Equities,MKTX,MarketAxess,,241.61,9740.512971049928,-29144.371205721618,2353405.3389353734
Equities,CHD,Church & Dwight,,73.21,7334.004105847808,-946.0763293704883,536922.440589118
Equities,WYNN,Wynn Resorts,,63.59,1865.6476740011567,-25.669073445470598,118636.53558973355
Equities,GOOG,Alphabet Inc. (Class C),,94.66,1803.0839637367503,147.9254488219321,170679.9280073208
Equities,NVR,"NVR, Inc.",,4237.75,1902.8485162530087,100959.91026191242,8063796.299751188
Equities,NEM,Newmont,,41.02,5314.551379240495,290.59781708732834,218002.89757644513
Equities,IT,Gartner,,301.92,5328.591538318874,-20671.056435249284,1608808.3572492346
Equities,MA,Mastercard,,326.66,1721.4948205183089,-2878.1016614773494,562343.4980705108
Equities,APH,Amphenol,,75.22,735.8251112690037,-56.39841320113191,55348.764869654464
Equities,MOS,Mosaic Company (The),,52.79,8658.268759453644,760.5552203590992,457070.00781155785
Equities,RTX,RTX Corporation,,92.53,8727.819729811055,20254.040737008956,807585.159599417
Equities,LMT,Lockheed Martin,,477.42,9405.291865761317,163181.81387095965,4490274.442551768
Equities,COF,Capital One,,103.6,8286.542584172328,-21749.427295806603,858485.8117202532
Equities,ODFL,Old Dominion,,273.65,2959.953032070801,9123.543484143607,809991.1472261746
Equities,PXD,Pioneer Natural Resources,,239.83,387.76832057704297,2394.4674103964744,92998.47632399222
Equities,FITB,Fifth Third Bank,,34.46,8891.496871829966,6081.653422724768,306400.98220326065
Equities,DHI,D.R. Horton,,76.13,3970.58849403381,171.30126346514814,302280.9020507939
Equities,ORCL,Oracle Corporation,,77.18,7686.4390106609835,23073.98912949768,593239.3628428148
Equities,NSC,Norfolk Southern Railway,,222.77,943.6641000758202,-3438.616778026798,210220.05157389047
Equities,HUM,Humana,,555.11,1480.1242035432374,11779.703312593572,821631.7466288866
Equities,UDR,"UDR, Inc.",,38.57,3506.528088852749,-1117.518552357019,135246.78838705053
Equities,QCOM,Qualcomm,,115.4,2638.437327509473,1275.1029282887212,304475.6675945932
Equities,META,Meta Platforms,,93.16,3445.332949494299,40709.025753569964,320967.2175748889
Equities,USB,U.S. Bank,,40.81,7799.475747214868,387.53202056451016,318296.60524383874
Equities,MO,Altria,,43.48,195.73517705341288,33.81847012792113,8510.56549828239
Equities,ANET,Arista Networks,,120.86,6615.62909411591,3941.220833100416,799564.9323148489
Equities,DD,DuPont,,56.09,9971.220549959162,-4294.382688646638,559285.7606472095
Equities,KMB,Kimberly-Clark,,121.16,8330.00865870109,-8071.909970004979,1009263.849088224
Equities,ACN,Accenture,,280.62,2890.4217533811025,4632.732635837347,811110.1524338049
Equities,IDXX,Idexx Laboratories,,359.68,2290.4691493222144,-7355.369565314903,823835.9436282141
Equities,BR,Broadridge Financial Solutions,,147.84,4532.706840529457,2114.8555747254773,670115.3793038749
Equities,TJX,TJX Companies,,70.96,1705.2459127116113,117.31245400299613,121004.24996601592
Equities,FE,FirstEnergy,,36.2,695.5490869095223,-71.00224626775673,25178.87694612471
Equities,BA,Boeing,,142.51,5707.21964313311,15754.384391566815,813335.8713428995
Equities,SPGI,S&P Global,,318.11,8555.241953986497,-9542.089881353822,2721508.0179826445
Equities,EA,Electronic Arts,,125.37,732.64162498896,-1436.1133262077808,91851.28052486591
Equities,TEL,TE Connectivity,,120.04,8711.93839980164,9532.427836396695,1045781.085512189
Equities,SBAC,SBA Communications,,266.28,2800.253606929636,5134.565433925598,745651.5304532234
Equities,DFS,Discover Financial,,101.79,9646.363825776098,-17518.56451198907,981903.373825749
Equities,ALGN,Align Technology,,194.3,2948.1380314438343,-5826.981084210501,572823.219509537
Equities,PSA,Public Storage,,301.33,1784.2226280136456,151.44205248076452,537639.8044993518
Equities,REGN,Regeneron,,748.75,3265.3707982778865,-32199.2853361648,2444946.3852105676
Equities,ETSY,Etsy,,93.91,223.83190493326313,-12.860628182452993,21020.05419228274
Equities,WMT,Walmart,,140.18,4834.79671489328,12401.32003307974,677741.80349374
Equities,DAL,Delta Air Lines,,33.86,5332.451105190349,3714.794715043379,180556.79442174523
Equities,MNST,Monster Beverage,,46.86,6783.333182181846,-4391.929795281318,317866.9929170413
Equities,PWR,Quanta Services,,141.83,607.4813850139608,670.5273770400721,86159.08483653006
Equities,ETR,Entergy,,103.94,9093.9403436838,1483.045134253764,945224.1593224942
Equities,KR,Kroger,,46.24,3713.3562387170364,407.77702413880536,171705.59247827576
Equities,IEX,IDEX Corporation,,220.41,5810.341624994199,-24077.12879404904,1280657.3975649714
Equities,ZTS,Zoetis,,149.77,2473.0765479012202,-79.74206478709287,370392.67457916576
Equities,BG,Bunge Limited,,96.21,8861.25047022493,-10099.167160915356,852540.9077403405
Equities,SRE,Sempra Energy,,71.97,5164.468051831834,41.5888022069253,371686.76569033705
Equities,ACGL,Arch Capital Group,,57.5,7935.925876677858,2176.919116630018,456315.7379089768
Equities,TGT,Target Corporation,,159.75,2641.220416546047,-5140.760760782133,421934.96154323104
Equities,ADSK,Autodesk,,214.3,6514.397512355136,52289.254441411904,1396035.3868977057
Equities,EPAM,EPAM Systems,,350.0,2172.942712530083,-585.1009841735622,760529.949385529
Government Bond,NL0012818504,NETHERLANDS GOVERNMENT 0.75 % 07/15/2028 144A ,BFM0LR6,106.85,3801.8743162449045,0.20488250773398972,406230.270690768
Government Bond,ES0000012852,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,124.62,3065.2521007903483,157.71681910329914,381991.71680049325
Government Bond,US912828WU04,TSY INFL IX N/B 0.125% 07/15/2024 ,BZ56VY8,124.36,12037.906209628492,-450.5359954486214,1497034.0162293992
Government Bond,CA135087G997,CANADIAN GOVERNMENT RRB 0.5% 12/01/2050,BG7PCR0,131.53,2235.043074692164,-28.48650490849076,293975.2156142603
Government Bond,GB00B6460505,UNITED KINGDOM GILT 4.25% 12/07/2040 REGS,B646050,152.57,11781.789966177765,-239.71052905491163,1797547.6951397415
Government Bond,GB00BYY5F144,UNITED KINGDOM I/L GILT 0.125% 03/22/2026 REGS,BYY5F14,139.46,4715.51599387495,-4.4522326164441415,657625.8605058006
Government Bond,ES00000128C6,BONOS Y OBLIG DEL ESTADO 2.9% 10/31/2046 144A,BYZ0LZ4,134.76,16937.69713352957,20.339474192180425,2282524.065714445
Government Bond,ES00000121S7,BONOS Y OBLIG DEL ESTADO 4.7% 07/30/2041 144A,B4KCFS6,163.93,2647.684113621394,1.7518976328314904,434034.8567459551
Government Bond,GB00BD9MZZ71,UNITED KINGDOM I/L GILT 0.125% 11/22/2065 REGS,BD9MZZ7,326.34,3486.5427395829433,482.35141605655656,1137798.3576354976
Government Bond,AT0000A1K9C8,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,BYN4DC9,105.26,17333.296574857373,31.900181726297276,1824502.7974694872
Government Bond,DE0001030575,DEUTSCHLAND I/L BOND 0.1 % 4/15/2046 REGS,BZ0D4B2,181.11,4508.1928459721385,111.9626022113802,816478.806334014
Government Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,BJK1TG4,104.56,81213.89363283728,431.9626859890136,8491724.718249466
